date,hour,type,北京
20170123,10,PM2.5,20
20170123,11,PM2.5,23
20170123,12,PM2.5,21
20170123,13,PM2.5,22
20170123,14,PM2.5,22
20170123,15,PM2.5,28
20170123,16,PM2.5,34
20170123,17,PM2.5,37
20170123,18,PM2.5,38
20170123,19,PM2.5,47
20170123,20,PM2.5,62
20170123,21,PM2.5,70
20170123,22,PM2.5,75
20170123,23,PM2.5,83
20170124,0,PM2.5,88
20170124,1,PM2.5,87
20170124,2,PM2.5,83
20170124,3,PM2.5,80
20170124,4,PM2.5,80
20170124,5,PM2.5,78
20170124,6,PM2.5,76
20170124,7,PM2.5,70
20170124,8,PM2.5,56
20170124,9,PM2.5,48
20170124,10,PM2.5,43
20170124,11,PM2.5,47
20170124,12,PM2.5,60
20170124,13,PM2.5,66
20170124,14,PM2.5,64
20170124,15,PM2.5,73
20170124,16,PM2.5,95
20170124,17,PM2.5,106
20170124,18,PM2.5,112
20170124,19,PM2.5,121
20170124,20,PM2.5,126
20170124,21,PM2.5,122
20170124,22,PM2.5,126
20170124,23,PM2.5,141
20170125,0,PM2.5,150
20170125,1,PM2.5,151
20170125,2,PM2.5,154
20170125,3,PM2.5,162
20170125,4,PM2.5,164
20170125,5,PM2.5,165
20170125,6,PM2.5,165
20170125,7,PM2.5,160
20170125,8,PM2.5,147
20170125,9,PM2.5,143
20170125,10,PM2.5,141
20170125,11,PM2.5,140
20170125,12,PM2.5,144
20170125,13,PM2.5,148
20170125,14,PM2.5,157
20170125,15,PM2.5,162
20170125,16,PM2.5,169
20170125,17,PM2.5,181
20170125,18,PM2.5,189
20170125,19,PM2.5,197
20170125,20,PM2.5,216
20170125,21,PM2.5,220
20170125,22,PM2.5,237
20170125,23,PM2.5,245
20170126,0,PM2.5,252
20170126,1,PM2.5,262
20170126,2,PM2.5,276
20170126,3,PM2.5,289
20170126,4,PM2.5,280
20170126,5,PM2.5,276
20170126,6,PM2.5,271
20170126,7,PM2.5,264
20170126,8,PM2.5,255
20170126,9,PM2.5,252
20170126,10,PM2.5,267
20170126,11,PM2.5,257
20170126,12,PM2.5,225
20170126,13,PM2.5,175
20170126,14,PM2.5,110
20170126,15,PM2.5,47
20170126,16,PM2.5,10
20170126,17,PM2.5,8
20170126,18,PM2.5,9
20170126,19,PM2.5,8
20170126,20,PM2.5,9
20170126,21,PM2.5,8
20170126,22,PM2.5,5
20170126,23,PM2.5,10
20170127,0,PM2.5,8
20170127,1,PM2.5,9
20170127,2,PM2.5,8
20170127,3,PM2.5,7
20170127,4,PM2.5,6
